"symbol_code","text_codes","primary_symbol_label","all_labels"
"222","(|||","accSagittalSharp7v11CUp","accSagittalSharp7v11CUp"
"223","|||\","accSagittalSharp55CUp","accSagittalSharp55CUp"
"224","~|||(","accSagittalSharp17CUp","accSagittalSharp17CUp"
"225",")|||(","accSagittalSharp7v11kUp","accSagittalSharp7v11kUp"
"226","=||","accSagittalSharp7v11kDown","accSagittalSharp7v11kDown"
"227","(||(","accSagittalSharp17CDown","accSagittalSharp17CDown"
"228","/||","accSagittalSharp55CDown","accSagittalSharp55CDown"
"229",")||~","accSagittalSharp7v11CDown","accSagittalSharp7v11CDown"
"230","~||(","accSagittalSharp5v11SDown","accSagittalSharp5v11SDown"
"231","(|(","accSagittal5v11SmallDiesisUp","accSagittal5v11SmallDiesisUp"
"232","(|","accSagittal7v11CommaUp","accSagittal7v11CommaUp"
"233","|\","accSagittal55CommaUp","accSagittal55CommaUp"
"234","~|(","accSagittal17CommaUp","accSagittal17CommaUp"
"235",")|(","accSagittal7v11KleismaUp","accSagittal7v11KleismaUp"
"236",")!(","accSagittal7v11KleismaDown","accSagittal7v11KleismaDown"
"237","~!(","accSagittal17CommaDown","accSagittal17CommaDown"
"238","!/","accSagittal55CommaDown","accSagittal55CommaDown"
"239","(!","accSagittal7v11CommaDown","accSagittal7v11CommaDown"
"240","(!(","accSagittal5v11SmallDiesisDown","accSagittal5v11SmallDiesisDown"
"241","~!!(","accSagittalFlat5v11SUp","accSagittalFlat5v11SUp"
"242",")!!~","accSagittalFlat7v11CUp","accSagittalFlat7v11CUp"
"243","\!!","accSagittalFlat55CUp","accSagittalFlat55CUp"
"244","(!!(","accSagittalFlat17CUp","accSagittalFlat17CUp"
"245","=!!","accSagittalFlat7v11kUp","accSagittalFlat7v11kUp"
"246",")!!!(","accSagittalFlat7v11kDown","accSagittalFlat7v11kDown"
"247","~!!!(","accSagittalFlat17CDown","accSagittalFlat17CDown"
"248","!!!/","accSagittalFlat55CDown","accSagittalFlat55CDown"
"249","(!!!","accSagittalFlat7v11CDown","accSagittalFlat7v11CDown"
"250","(!!!(","accSagittalFlat5v11SDown","accSagittalFlat5v11SDown"
